"","msno","is_churn","is_duplicate","city","age","gender","registered_via","registration_init_time","payment_method_id","payment_plan_days","plan_list_price","actual_amount_paid","is_auto_renew","is_cancel","n_transactions","payment_price_diff"
"1","i2yEo5KgaYOUq6mB5NSkvuhWaaABIvZ+Eh+eoXgh5cA=",0,1,18,58,1,9,20101225,37,30.1538461538462,149,149,1,0,26,0
"2","s0CdCMi/OHDlJ2SpVRnNUHCm/gE3bzWle2SXmiOleoc=",0,1,5,50,2,9,20050301,34,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"3","kdSilnz+HJR51K1kdkTORskArKnXnR9tm5ThEemy/D8=",0,1,4,39,1,3,20150109,40,30.1538461538462,149,143.269230769231,1,0,26,5.73076923076923
"4","sg+WFiIjdBAqEY5mTjaqy5B4MYrJ8OhiheE/9vtmib4=",0,0,5,20,2,3,20140414,28.0454545454545,30,149.954545454545,156.772727272727,0,0,22,-6.81818181818182
"5","RCoAnYYv79B8HrrLew4I83ZsJMGy7sOrVupfN60MKu4=",0,1,13,36,1,3,20150530,36,30,166.5,166.5,0.55,0,20,0
"6","8dzp2Gvn9xrCvRpquxWObhppbSh8J05+xUV8kr3qvss=",0,1,13,29,1,9,20100402,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"7","InaIQ9MdNKLkUGV0hf2nTo6wK3iK8vzLrGqVsfGhfJQ=",0,1,5,39,1,9,20070607,37,29,143.269230769231,149,1,0,26,-5.73076923076923
"8","Ubm2151Mk4GW+NSe1bvta3w0rrrOAJitxJ9LbGKIDXQ=",0,1,12,27,2,9,20070620,34,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"9","iUb6i1GRW7g2SneT6T0txK2MD6xm07UlXa133ffg9lI=",0,1,5,24,1,9,20121202,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"10","zJh/FEX1+L7sElxPxklKTVEaKN22qUJp0QDbdKHSWJI=",0,0,13,30,1,9,20071019,34,21.4285714285714,106.428571428571,149,1,0,21,-42.5714285714286
"11","0AxKs8vt/8VUbk1oP7Ed5hMimqVEEYgtmmqkZ54qWFY=",0,1,13,24,2,9,20110407,36.25,50.625,269.25,269.25,0.625,0,8,0
"12","7kGIUBtglfC/oW4iIHxhL8LnP6PBLq8zxXgzNFbVPvo=",0,1,13,29,1,9,20070115,40,30,149,149,1,0,12,0
"13","j/lpswdY5RBvDx4YsS+rwhv3p6TcFxUqHelmf9QVRFQ=",0,1,13,35,2,9,20091101,37,28.9615384615385,143.269230769231,149,1,0,26,-5.73076923076923
"14","+2Varl7nJ1Bw1EyCx9va7ieJI2L3OR/Lzk3K1tQHTeU=",0,1,5,29,2,9,20110411,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"15","N/Fl3SRRxit6igqhS6raX8ZoSgNaNCft4Hpmr7Zdon8=",0,1,4,26,2,3,20111210,37.8571428571429,28.9047619047619,141.904761904762,141.904761904762,0,0,21,0
"16","RbwPByWCClSR621EXsHWdW+lqz+6BWZagViiwyec47Y=",0,1,1,24,2,7,20150202,41,28.8888888888889,131.259259259259,126.777777777778,1,0.037037037037037,27,4.48148148148148
"17","MpA0Ou3TtxrKTYbq2khvZ4t244A1WBTHteCxhL81jJs=",0,1,22,29,2,9,20060331,34,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"18","NlXvHDu9zGtsuYoFemcvKXHkmn3HLzNcmAuxeg31bwM=",0,1,14,30,1,9,20091106,40,29.037037037037,143.481481481481,149,1,0.037037037037037,27,-5.51851851851852
"19","9RTwV/H7yH+1FyutDOryQ55fxGNT+VrzeIUsqj3TCFk=",0,1,21,26,1,3,20140623,40,28.7,141.55,149,1,0,20,-7.45
"20","wr8lFYcWkXjpX8Y5x0M/5U7iVAHXN4ThlMN0gQBYq9c=",0,0,5,44,2,9,20110417,36,30,180,180,1,0,7,0
"21","R1AlGNDCDPSGDPW3THC7tR2JVtVrar48besm6qaW4Bo=",0,1,10,14,2,7,20140308,41,30,149,149,1,0,12,0
"22","IurqU3zEk64HNof6/MdZ6lUmxZZyM8G3aCXW8bKzxYU=",0,1,13,32,2,9,20110615,31,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"23","xlEgLWHluXIZzTBmGhha2LMERCX9Ra6RqkqOHid4uR4=",0,1,4,37,2,9,20071001,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"24","hDT5+LEdZyXPipeoMHg9grKDTqMHwYUvkybt92pH+X8=",0,1,13,31,1,4,20160621,40,30,149,149,1,0,8,0
"25","dFaB6PmP60RyIgWaTVdgrEeOtHyad5nFyvQ/gmOVQC0=",0,0,9,20,1,3,20140112,38,35,176.333333333333,176.333333333333,0,0,12,0
"26","Mw7YNtVZwcX5WAFjB+yXS9RTTu3n7HGhvBm7ZGaVP10=",1,0,13,25,1,3,20131008,32,395,1599,1599,0,0,1,0
"27","gg3hPBUkHR1Z/UOjmZ98ChMzxOKwDzIsYbcc5S/qAn8=",0,1,22,28,2,9,20120627,39.3913043478261,28.695652173913,142.521739130435,149,1,0.0434782608695652,23,-6.47826086956522
"28","Wots44i0NLU04Em83vG9prD733OuQVgbNyIAULZUTsA=",0,1,4,25,2,9,20141017,38.9130434782609,30.1739130434783,149.04347826087,149.04347826087,0.956521739130435,0.0434782608695652,23,0
"29","CSIBt67FxyLZJBsXc/bi/GUUxp/Mul+cJpPNEoG6fkY=",0,1,22,23,2,9,20140905,37,29,143.269230769231,149,1,0,26,-5.73076923076923
"30","T14Bgxx8+edEp7rGv5aeUwh9SwLRbgrZj677R9rNx78=",0,1,5,25,1,3,20161018,29,30,180,120,0.666666666666667,0,6,60
"31","mg4SFTjg9ekTbjQZIT3E6qqCuQgoTh8ms137t5y2KXI=",0,1,6,26,2,9,20100905,33,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"32","+MRsGD8oGgEHiNq2hAEQbWhvS7lU3qARA0HUMPGwy8s=",0,1,14,31,2,3,20120728,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"33","A+WkZFr8kpIdkM5/65rVfsF6laZVtRRJz6NHLRDbbok=",0,1,5,35,1,3,20150826,40,30,149,149,1,0,18,0
"34","fc0W4CsVALLpo/i1Jd/D3F2pmlY4vMJJs3YfvoNn5OM=",0,1,13,28,1,9,20101026,37,30.1538461538462,149,149,1,0,26,0
"35","Le9/+/TlIjf5d3xYlBVhbYo+xb2/CpasMGJ9ahepcco=",0,1,8,31,1,3,20120307,40,29,143.269230769231,149,1,0,26,-5.73076923076923
"36","L67Jr2c/0yr+TPYa4WvAxefwxoNtZwuY8+Jh7hf+zNs=",1,0,5,42,1,7,20150711,37.1428571428571,23.4285714285714,106.428571428571,106.428571428571,0,0,7,0
"37","raXdMavH/h6KFwPT/8hEJp/nrwa7P6/QzQRIAMntcRQ=",0,1,5,21,2,9,20101222,37.3333333333333,24.8888888888889,115.888888888889,115.888888888889,0,0,9,0
"38","toOO8UnM10HDztc69DFK2QDJkt8gYOmM4QaSYpQyQ9w=",0,1,5,34,2,9,20150819,34,25.5,126.65,149,1,0,20,-22.35
"39","bWFz+QBs9G/sbTqowvQiDzjTufb2KCGVSMUcRJt8blA=",0,1,17,32,1,9,20070416,21.75,28.65,143.1,150.55,1,0.05,20,-7.45
"40","6ZiI+jSr6M7KVQLAPPLQkr8rhcnaixmMGx40duM2Rv8=",0,1,14,51,1,9,20080715,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"41","m+jLPkkfy/Y/XXbg4K+HB9cNM/n7voFVp2ibIZNfySM=",0,1,22,30,1,3,20120212,40,29,143.269230769231,149,1,0,26,-5.73076923076923
"42","PTAADvOnPWJadjUDrDcWxZZh8TKSDkVRZZeztrnukrQ=",0,1,5,16,1,7,20160202,41,30,99,99,1,0,13,0
"43","vHp3nkGNrScR6u9RsEECz7RNnLdIZBpMUAkKIOygrmc=",0,1,13,27,2,9,20111118,38.45,28.65,143.1,150.55,0.9,0.05,20,-7.45
"44","lQDsFhz3mMLlzj27py1N2QK360GoZZt4A7BFresOrkk=",0,1,5,25,2,7,20130503,41,26.7857142857143,125.178571428571,140.428571428571,1,0.0357142857142857,28,-15.25
